,name,OName,Group,Per,E_Per,e_Per,Rp,E_Rp,e_Rp,age,E_age,e_age,Teff,logg,flag,stmass,Validation,Gaia_id
0,TOI 520.01,                 ,Group 95,0.523613019,1.24e-05,1.24e-05,1.486164458,0.66198206,0.66198206,30.1995172,5.281821719,4.495559376,7450.0,4.33986,TESS,1.66,NO,5576476552334683520
1,TOI 626.01,                 ,Group 449,4.4010465,1.4e-06,1.4e-06,19.7441,0.66082,0.66082,194.98446,80.43841036,56.94603352,8489.0,4.03,TESS,2.11,NO,5617241426979996800
2,TOI 2453.01,Hyades           ,Group 1004,4.4414094,1.71e-05,1.71e-05,3.02052,0.201296,0.201296,645.654229,112.923346,96.11335518,3609.0,4.73522,TESS,0.500519,NO,3295485490907597696
3,TOI 2519.01,Columba          ,Group 208,6.9551801,5.29e-05,5.29e-05,2.29124,0.200791,0.200791,263.0267992,108.5084299,76.81808552,4742.0,4.57,TESS,0.76,NO,2924619634745251712
4,TOI 2640.01,IC 2602          ,Group 92,0.911220602,8.03e-05,8.03e-05,7.393180263,0.5033327,0.5033327,44.66835922,14.21600632,10.7839436,2999.0,4.95462,TESS,0.24827,NO,5404579488593432576
5,TOI 2646.01,NGC 2516         ,Group 613,0.3125737,2e-07,2e-07,8.09753,,,144.5439771,37.42610879,29.72861492,5202.0,4.53,TESS,0.88,NO,5288535107223500928
6,TOI 2822.01,                 ,Group 5076,2.8798613,2.11e-05,2.11e-05,11.5292,0.719105,0.719105,537.0317964,93.92554811,79.94360676,6086.0,4.04,TESS,1.14,NO,5597777288033556480
7,TOI 3077.01,                 ,Group 3176,6.3599636,4.42e-05,4.42e-05,13.6678,0.722244,0.722244,186.2087137,130.0190524,76.56089405,7689.0,4.06,TESS,1.8,NO,5307513536932390272
8,TOI 3184.01,                 ,Group 550,3.6071588,1.64e-05,1.64e-05,11.5952,0.703375,0.703375,213.796209,74.60694136,55.3068897,6071.0,4.04,TESS,1.13,NO,5903623451060661504
9,TOI 3335.01,                 ,Group 1502,2.265394,0.000567,0.000567,12.6882,1.03445,1.03445,3019.95172,447.4167841,389.6837285,5568.0,3.89,TESS,0.98,NO,6637496339607744768
10,TOI 3405.01,                 ,Group 5047,6.1458884,2.17e-05,2.17e-05,18.4029,,,524.8074602,183.1383241,135.7623153,7231.0,4.24,TESS,1.62,NO,5597080060222243456
11,TOI 3571.01,                 ,Group 1579,3.007925,3e-06,3e-06,15.3022,1.27075,1.27075,2137.96209,553.5727144,439.718437,7457.0,4.14,TESS,1.71,NO,1976235953230659200
12,TOI 3952.01,                 ,Group 1153,2.989659678,0.000150681,0.000150681,18.48095199,0.82179457,0.82179457,1148.153621,365.4076269,277.1900315,6786.0,4.21,TESS,1.457,NO,2222159767637696896
13,TOI 4007.01,                 ,Group 446,4.543187214,0.000418192,0.000418192,13.07039515,0.563194,0.563194,123.0268771,39.15413265,29.701447,7998.0,4.6,TESS,1.929,NO,512298446332290688
14,TOI 4231.01,                 ,Group 2714,3.2970252,0.000991,0.000991,13.4619,0.885817,0.885817,128.8249552,40.99941008,31.10123307,8945.0,4.35,TESS,2.26,NO,5600620762539891456
15,TOI 4904.01,NGC 3114         ,Group 293,2.4118274,5.8e-06,5.8e-06,19.2999,1.21375,1.21375,85.11380382,22.0381267,17.50550628,8765.0,4.21,TESS,2.2,NO,5351815918429606400
16,TOI 4993.01,                 ,Group 1114,3.1062522,3.76e-05,3.76e-05,12.6882,0.966342,0.966342,616.5950019,274.6559363,190.0154831,5369.0,3.75,TESS,0.93,NO,5913018679150242304
17,TOI 5358.01,Pleiades         ,Group 369,2.6599461,1.97e-05,1.97e-05,2.92426,0.281719,0.281719,181.9700859,57.91320604,43.9316594,4636.3,4.5,TESS,0.736,YES,119520079331712896
18,TOI 5425.01,                 ,Group 945,0.4553752,1.53e-05,1.53e-05,7.9095,0.61584,0.61584,194.98446,86.85383315,60.08817172,6439.0,4.49,TESS,1.303,NO,3423681228084838912
19,TOI 5814.01,                 ,Group 506,6.2544051,3.26e-05,3.26e-05,2.54249,0.201728,0.201728,407.3802778,154.9610474,112.2593551,4986.0,4.52,TESS,0.825,NO,2054644292068475136
20,TOI 5828.01,Stock 1          ,Group 821,1.1951761,1.06e-05,1.06e-05,4.46821,1.44581,1.44581,239.8832919,62.11188014,49.33722011,5313.0,4.56,TESS,0.915,NO,2021405810743330944
21,TOI 6034.01,                 ,Group 1008,2.576257031,0.000125237,0.000125237,12.53717957,0.46936098,0.46936098,363.0780548,115.5520376,87.65518444,3628.0,4.73924,TESS,0.495981,NO,2270404997834401664
22,TOI 6095.01,AB Dor           ,Group 301,2.1613171,6.1e-06,6.1e-06,1.86733,0.155413,0.155413,194.98446,86.85383315,60.08817172,5260.0,4.59,TESS,0.9,NO,5556259076119974144
23,TOI 6109.01,Alpha per        ,Group 133,8.5386633,3.03e-05,3.03e-05,4.04578,0.30596,0.30596,54.95408739,32.14227161,20.28040234,5416.1,4.49,TESS,1.032,NO,241035591876195328
24,TOI 6149.01,                 ,Group 145,13.3562254,0.0002341,0.0002341,8.52588,0.465464,0.465464,269.1534804,138.2267974,91.32553939,6122.0,4.3,TESS,1.16,NO,2066425662232436224
25,TOI 6156.01,                 ,Group 2485,12.6885127,0.0008038,0.0008038,16.2893,0.924947,0.924947,102.3292992,45.58153959,31.53472079,7710.0,4.37,TESS,1.81,NO,1867362552365218688
26,TOI 6187.01,                 ,Group 993,5.5133822,4.42e-05,4.42e-05,12.462,,,239.8832919,140.3061044,88.52716706,5785.0,4.13,TESS,1.04,NO,1998847444212974720
27,TOI 6248.01,Alessi 37        ,Group 349,3.852893309,0.000238745,0.000238745,18.89120584,20.935768,20.935768,144.5439771,50.4404829,37.39204655,6306.0,4.267,TESS,1.24,YES,1984154395449640832
28,TOI 6316.01,                 ,Group 772,3.0057526,6.8e-06,6.8e-06,17.9698,0.797688,0.797688,186.2087137,32.56744873,27.71939442,7581.0,4.2,TESS,1.76,NO,509930098289515264
29,TOI 6371.01,                 ,Group 923,1.8597817,1.5e-06,1.5e-06,13.3278,0.730392,0.730392,245.4708916,70.75687445,54.92481977,5751.0,4.19,TESS,1.03,NO,486741015794040320
